business_id,name,neighborhood,rating,review_count,popularity,ranking_score,delivery,outdoor_seating,accepts_credit_cards,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,bike_parking,price_range,take_out,has_wifi,alcohol,caters,reservations,good_for_groups,attire,has_tv,ambience_touristy,ambience_hipster,ambience_romantic,ambience_divey,ambience_intimate,ambience_trendy,ambience_upscale,ambience_classy,ambience_casual,good_for_kids,meal_dessert,meal_latenight,meal_lunch,meal_dinner,meal_brunch,meal_breakfast,noise_level,dogs_allowed,happy_hour,wheelchair_accessible,table_service,dietary_restrictions,cuisine_group,cuisine,key_menu,establishment_type,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,days_open_per_week,open_weekends,open_late
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Chinatown,4.0,80,3,0.6361,0,0,0,0,1,0,0,0,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bubble Tea, Coffee & Tea",Bakeries,7.0,20.0,7.0,20.0,7.0,20.0,7.0,20.0,7.0,21.0,7.0,21.0,7.0,21.0,7,1,0
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Old City,4.0,245,5,0.6963,1,1,1,,1,,0,0,,2,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,,,1,,,2,0,1,1,1,,East Asian,Japanese,Sushi Bars,,,,13.5,22.0,13.5,22.0,13.5,22.0,13.5,23.0,13.5,23.0,13.5,22.0,6,1,0
ROeacJQwBeh05Rqg7F6TCg,BAP,Hawthorne,4.5,205,4,0.7826,,,1,0,1,0,0,0,1,1,1,0,,1,0,0,1,1,0,0,0,0,,0,0,0,1,1,0,0,1,1,0,0,1,,,,1,,East Asian,Korean,,,11.5,20.5,11.5,20.5,11.5,20.5,11.5,20.5,11.5,20.5,11.5,20.5,,,6,1,0
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Northern Liberties,3.5,65,3,0.5616,1,1,1,0,0,0,1,0,,2,1,,,,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,1,,,,American / Fusion,American (Traditional),,"Brewpubs, Bakeries, Breweries",0.0,0.0,,,16.0,22.0,16.0,22.0,16.0,19.0,11.0,23.0,11.0,20.0,6,1,0
ppFCk9aQkM338Rgwpl2F5A,Wawa,University City,3.0,56,3,0.5,1,0,1,0,1,0,0,0,1,1,1,1,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,2,,,,,,,,"Coffee & Tea, Sandwiches","Delis, Convenience Stores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Logan Square,3.0,137,4,0.5,1,0,1,0,1,0,0,0,1,1,1,1,,1,1,1,1,1,0,0,0,,0,0,0,0,,1,0,0,1,,0,0,2,0,0,1,1,,East Asian,Chinese,,,0.0,0.0,11.0,22.5,11.0,22.5,11.0,22.5,11.0,22.5,11.0,22.5,12.0,22.5,7,1,0
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Queen Village,4.5,183,4,0.7745,0,1,0,0,1,0,0,0,1,1,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,,,,,Vegan,,,"Breakfast & Brunch, Bagels, Coffee & Tea",,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7.0,18.0,7,1,0
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,Fishtown - Lower Kensington,4.5,12,1,0.557,0,,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bakeries,,,9.0,17.0,9.0,17.0,9.0,17.0,9.0,17.0,9.0,16.0,8.0,14.0,6,1,0
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Walnut Hill,4.5,66,3,0.6861,1,0,1,0,1,0,0,0,1,1,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,"Latin American / Caribbean, Latin American / Caribbean","Caribbean, Trinidadian",Cupcakes,"Bakeries, Cafes",9.0,22.0,9.0,22.0,9.0,22.0,9.0,23.0,9.0,23.0,9.0,23.0,11.0,20.0,7,1,0
dChRGpit9fM_kZK5pafNyA,The Love,Rittenhouse,4.0,618,5,0.7255,1,1,1,0,1,0,0,0,1,2,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,,1,1,1,,2,0,1,,1,,American / Fusion,American (New),"Breakfast & Brunch, Burgers",,0.0,0.0,17.0,21.0,17.0,21.0,17.0,21.0,16.0,21.0,16.0,22.0,16.0,21.0,7,1,0
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,East Oak Lane,4.5,351,5,0.8149,,0,1,0,1,0,1,0,1,2,1,0,,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,,,1,,East Asian,Korean,,,10.5,22.5,10.5,22.5,10.5,22.5,10.5,22.5,10.5,22.5,10.5,22.5,10.5,22.5,7,1,0
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Society Hill,4.0,604,5,0.725,0,1,1,0,1,0,0,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,,1,,1,,0,2,0,1,1,1,,"American / Fusion, American / Fusion","American (New), American (Traditional)",,"Whiskey Bars, Bars",0.0,0.0,16.0,22.0,16.0,22.0,12.0,22.0,16.0,24.0,11.0,24.0,10.0,26.0,7,1,1
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,Callowhill,4.0,31,2,0.5791,1,,1,0,1,0,0,0,,,1,1,,,,,,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,,,,,,,,"Bagels, Breakfast & Brunch, Coffee & Tea, Burgers",Delis,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7.0,16.0,7,1,0
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,Rittenhouse,4.0,28,2,0.5737,1,0,1,0,1,0,0,0,,,1,0,,1,1,,,0,,,,,1,,,,,,0,0,0,0,0,0,,0,0,0,1,,South Asian,Indian,,,16.0,22.0,,,11.0,22.0,11.0,22.0,11.0,22.5,11.0,22.5,11.0,22.0,6,1,0
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,Cedar Park,4.0,301,5,0.7045,1,0,1,0,1,0,0,0,1,1,1,0,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,2,0,0,,1,Vegetarian,,,"Sandwiches, Breakfast & Brunch",Diners,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.5,7.0,15.5,7,1,0
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,Rittenhouse,4.0,65,3,0.6231,1,1,1,0,0,0,0,0,1,1,1,,,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,,,,,,,,"Salad, Sandwiches",Delis,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,6.0,15.0,,,,,5,0,0
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,Francisville,4.5,138,4,0.7524,,0,1,0,1,0,1,0,1,2,1,1,,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,,0,1,,"Latin American / Caribbean, Latin American / Caribbean","Trinidadian, Caribbean",Seafood,,0.0,0.0,12.0,21.0,11.5,20.5,11.5,20.5,11.5,20.5,11.5,20.5,11.5,20.5,7,1,0
RrqRin8BYGrTlJbCDwtLzA,Wawa,University City,3.5,50,3,0.5534,1,0,1,0,1,0,0,0,1,1,1,1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,,,,,"Coffee & Tea, Sandwiches","Delis, Convenience Stores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,Roxborough,3.0,54,3,0.5,1,0,1,0,1,0,0,0,0,1,1,0,,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,,,,,,,,Pizza,,0.0,0.0,11.0,21.75,11.0,21.75,11.0,21.75,11.0,21.75,11.0,21.75,12.0,20.5,7,1,0
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,Richmond,4.5,29,2,0.6133,0,1,1,0,1,0,0,0,1,2,1,1,1,0,0,,,0,0,1,,,,1,0,,1,,,,,,,,,1,1,1,1,,American / Fusion,American (Traditional),Beer,Bars,0.0,0.0,16.0,22.0,16.0,22.0,16.0,22.0,16.0,23.0,12.0,23.0,11.0,16.0,7,1,0
